absolute_path,relative_path,class_label
D:\dataset\cat\0000.jpg,dataset\0000.jpg,cat
D:\dataset\cat\0001.jpg,dataset\0001.jpg,cat
D:\dataset\cat\0002.jpg,dataset\0002.jpg,cat
D:\dataset\cat\0003.jpg,dataset\0003.jpg,cat
D:\dataset\cat\0004.jpg,dataset\0004.jpg,cat
D:\dataset\cat\0005.jpg,dataset\0005.jpg,cat
D:\dataset\cat\0006.jpg,dataset\0006.jpg,cat
D:\dataset\cat\0007.jpg,dataset\0007.jpg,cat
D:\dataset\cat\0008.jpg,dataset\0008.jpg,cat
D:\dataset\cat\0009.jpg,dataset\0009.jpg,cat
D:\dataset\cat\0010.jpg,dataset\0010.jpg,cat
D:\dataset\cat\0011.jpg,dataset\0011.jpg,cat
D:\dataset\cat\0012.jpg,dataset\0012.jpg,cat
D:\dataset\cat\0013.jpg,dataset\0013.jpg,cat
D:\dataset\cat\0014.jpg,dataset\0014.jpg,cat
D:\dataset\cat\0015.jpg,dataset\0015.jpg,cat
D:\dataset\cat\0016.jpg,dataset\0016.jpg,cat
D:\dataset\cat\0017.jpg,dataset\0017.jpg,cat
D:\dataset\cat\0018.jpg,dataset\0018.jpg,cat
D:\dataset\cat\0019.jpg,dataset\0019.jpg,cat
D:\dataset\cat\0020.jpg,dataset\0020.jpg,cat
D:\dataset\cat\0021.jpg,dataset\0021.jpg,cat
D:\dataset\cat\0022.jpg,dataset\0022.jpg,cat
D:\dataset\cat\0023.jpg,dataset\0023.jpg,cat
D:\dataset\cat\0024.jpg,dataset\0024.jpg,cat
D:\dataset\cat\0025.jpg,dataset\0025.jpg,cat
D:\dataset\cat\0026.jpg,dataset\0026.jpg,cat
D:\dataset\cat\0027.jpg,dataset\0027.jpg,cat
D:\dataset\cat\0028.jpg,dataset\0028.jpg,cat
D:\dataset\cat\0029.jpg,dataset\0029.jpg,cat
D:\dataset\cat\0030.jpg,dataset\0030.jpg,cat
D:\dataset\cat\0031.jpg,dataset\0031.jpg,cat
D:\dataset\cat\0032.jpg,dataset\0032.jpg,cat
D:\dataset\cat\0033.jpg,dataset\0033.jpg,cat
D:\dataset\cat\0034.jpg,dataset\0034.jpg,cat
D:\dataset\cat\0035.jpg,dataset\0035.jpg,cat
