absolute_path,relative_path,class_label
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\cat_0000.jpg,dataset_copy\cat_0000.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\cat_0001.jpg,dataset_copy\cat_0001.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\cat_0002.jpg,dataset_copy\cat_0002.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\cat_0003.jpg,dataset_copy\cat_0003.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\cat_0004.jpg,dataset_copy\cat_0004.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\cat_0005.jpg,dataset_copy\cat_0005.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\dog_0000.jpg,dataset_copy\dog_0000.jpg,dog
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\dog_0001.jpg,dataset_copy\dog_0001.jpg,dog
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\dog_0002.jpg,dataset_copy\dog_0002.jpg,dog
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\dog_0003.jpg,dataset_copy\dog_0003.jpg,dog
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\dog_0004.jpg,dataset_copy\dog_0004.jpg,dog
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\dog_0005.jpg,dataset_copy\dog_0005.jpg,dog
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\dog_0006.jpg,dataset_copy\dog_0006.jpg,dog
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy\dog_0007.jpg,dataset_copy\dog_0007.jpg,dog
