absolute_path,relative_path,class_label
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\5094.jpg,dataset_copy_random\5094.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\3142.jpg,dataset_copy_random\3142.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\3294.jpg,dataset_copy_random\3294.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\664.jpg,dataset_copy_random\664.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\4200.jpg,dataset_copy_random\4200.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\2036.jpg,dataset_copy_random\2036.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\8687.jpg,dataset_copy_random\8687.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\4807.jpg,dataset_copy_random\4807.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\1085.jpg,dataset_copy_random\1085.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\3282.jpg,dataset_copy_random\3282.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\5289.jpg,dataset_copy_random\5289.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\896.jpg,dataset_copy_random\896.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\3696.jpg,dataset_copy_random\3696.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\2188.jpg,dataset_copy_random\2188.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\3774.jpg,dataset_copy_random\3774.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\9603.jpg,dataset_copy_random\9603.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\2540.jpg,dataset_copy_random\2540.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\4590.jpg,dataset_copy_random\4590.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\5773.jpg,dataset_copy_random\5773.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\9665.jpg,dataset_copy_random\9665.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\8621.jpg,dataset_copy_random\8621.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\1750.jpg,dataset_copy_random\1750.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\5658.jpg,dataset_copy_random\5658.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\9187.jpg,dataset_copy_random\9187.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\6527.jpg,dataset_copy_random\6527.jpg,cat
C:\Users\DANDA322\Desktop\Учеба\Магистратура\Новые технологии в РПС\Lab1\Lab1\dataset_copy_random\2337.jpg,dataset_copy_random\2337.jpg,cat
